Date,Open,High,Low,Close,Volume
2017-05-31,27.9052,28.4145,21.7648,21.9952,1221771.0449696
2017-06-30,21.9371,24.2912,19.4114,20.0414,1441358.9380445
2017-07-31,20.0995,23.4305,19.5838,20.846,734591.11975223
2017-08-31,20.846,21.0184,14.8168,14.9877,1052699.9771651
2017-09-30,15.046,21.5363,14.9877,18.5486,890305.27668934
2017-10-31,18.377,21.8222,16.8836,20.4451,918060.36672324
2017-11-30,19.4681,20.9609,17.1701,18.6636,678739.8825544
2017-12-31,18.7778,23.029,17.2282,18.8361,2399284.0110222
2018-01-31,18.9503,24.1194,18.8361,18.9503,2806580.0039698
2018-02-28,18.8927,20.9609,16.2513,19.8122,1464428.320733
2018-03-31,19.6405,22.1095,18.2044,18.6636,876792.45399102
2018-04-30,18.5486,19.2391,16.2816,16.3088,548433.7857687
2018-05-31,16.2513,18.6062,15.8505,16.826,1040739.3124258
2018-06-30,16.941,19.4681,15.5344,18.9503,2177903.1318923
2018-07-31,19.0084,22.9708,18.3202,19.4681,2395142.6030148
2018-08-31,19.2964,22.3969,18.9503,22.3394,693657.30380044
2018-09-30,22.2245,22.3394,20.3876,21.8796,651924.43971545
2018-10-31,22.1095,24.9808,20.846,23.2,1086783.4170482
2018-11-30,23.2582,24.6942,20.7885,21.3631,611392.93197009
2018-12-31,21.5363,22.5692,17.803,19.5256,898738.43625527
2019-01-31,19.2391,22.5118,18.6636,20.6743,564332.61630723
2019-02-28,20.7885,24.0628,18.5486,23.029,1506236.3565935
2019-03-31,23.2653,25.7522,22.7912,23.4428,674908.90613886
2019-04-30,23.4428,23.5613,20.3058,21.6663,566942.7474043
2019-05-31,21.8445,23.6677,20.7791,22.0973,384301.78203477
2019-06-30,22.3394,24.6942,20.588,24.6942,331315.4247291
2019-07-31,24.1503,24.9355,21.313,24.3924,357468.24228687
2019-08-31,24.2108,24.9621,21.8969,22.0829,279125.33141678
2019-09-30,22.0211,24.8989,21.5205,24.2732,379604.93812994
2019-10-31,24.2732,24.3989,20.3941,20.6449,330432.85240081
2019-11-30,21.1562,21.5291,16.9374,18.2168,440197.56546998
2019-12-31,18.0243,19.9416,17.4496,19.8137,502857.4166389
2020-01-31,20.1334,20.1334,16.8167,16.8742,563408.2818814
2020-02-29,16.8095,17.8331,12.1438,12.1438,571721.72343431
2020-03-31,12.9117,13.3585,3.83502,6.58336,1217141.0204209
2020-04-30,5.81637,6.83874,5.36834,6.26376,549963.67060907
2020-05-31,6.16794,6.39156,5.04868,5.8362,630369.62909829
2020-06-30,5.88024,8.88459,5.34277,5.43285,892543.72511819
2020-07-31,5.81637,6.77573,5.11326,6.39156,536946.42480172
2020-08-31,6.32755,7.3509,5.49749,5.87973,730771.27989602
2020-09-30,5.93591,5.93591,4.85831,5.54734,364467.5698368
2020-10-31,5.49678,5.49678,4.05483,4.1546,404344.8047205
2020-11-30,4.4102,6.04014,3.67489,5.76523,2202695.8971398
2020-12-31,5.75243,10.5655,5.6949,10.2402,2829565.8624631
2021-01-31,10.4054,11.9777,9.39615,10.0095,864500.47661118
2021-02-28,10.0669,17.9187,10.0669,16.5415,1291400.9902202
2021-03-31,16.7146,26.1286,14.778,25.7903,2537687.7785235
2021-04-30,26.1286,40.2566,26.1093,35.7999,2305876.1194947
2021-05-31,36.1188,42.5675,30.3605,38.024,2004978.8145535
2021-06-30,38.5096,43.9741,37.0772,39.5827,1468791.0678574
2021-07-31,40.5676,43.2586,34.004,41.2321,1142398.0023599
2021-08-31,42.0058,44.102,32.5982,37.8545,1914490.093645
2021-09-30,37.782,47.1751,37.6891,45.974,943872.12715099
2021-10-31,46.4223,57.5172,46.04,52.1676,1782765.4776124
2021-11-30,52.6691,58.3096,51.0858,52.7501,1931154.5626387
2021-12-31,52.6273,59.7952,51.0463,56.6114,1242304.0762666
2022-01-31,57.9259,75.8363,56.653,69.791,2727245.9393178
2022-02-28,70.1739,75.6858,66.4772,73.7246,2911668.7541829
2022-03-31,75.9592,107.969,71.4447,99.1106,8639339.0415437
2022-04-30,97.9407,129.117,95.0236,107.365,4052457.5237171
2022-05-31,107.754,116.877,90.5561,94.775,3234430.3760435
2022-06-30,94.6717,94.6717,72.5386,72.9625,3248720.3053444
2022-07-31,73.0721,81.1097,58.6769,79.9478,2523329.2462164
2022-08-31,80.847,111.49,78.1871,98.9378,3739905.8676619
2022-09-30,97.7278,109.109,81.5448,91.1335,2207655.895283
2022-10-31,95.1956,106.457,92.3845,96.3663,1976442.8318386
2022-11-30,89.9939,103.985,88.0032,103.839,2216648.6175983
2022-12-31,104.325,104.325,77.3945,81.341,2140381.969301
2023-01-31,82.6511,86.2095,79.1688,80.1684,1261058.7299471
2023-02-28,80.0632,91.8703,72.3804,91.8623,2665211.5434009
2023-03-31,92.0165,95.7364,72.2692,79.4507,3105644.8510449
2023-04-30,80.3684,84.8947,75.8777,79.9318,821122.55665229
2023-05-31,79.7447,93.4305,79.6734,81.68,2765769.6601029
2023-06-30,82.11,87.25,77.76,80.68,1389762
2023-07-31,82,94.38,80.51,93.16,1493034
2023-08-31,87.53,91.82,72.21,74.81,2277790
2023-09-30,74.93,83.83,74.93,82.61,611560
2023-10-31,81.82,84.62,73.19,78.83,741024
2023-11-30,79.21,81.55,66.32,68.12,1218766
2023-12-31,68.25,73.56,60.5,65.5,1295297
2024-01-31,65.16,72.5,65.16,71.81,605585
2024-02-29,72.35,75.73,66.05,68.19,859752
