Date;Open;High;Low;Close;Volume;Monat
31.08.2020;6,32755;7,3509;5,49749;5,87973;730771,2799;
30.09.2020;5,93591;5,93591;4,85831;5,54734;364467,5698;
31.10.2020;5,49678;5,49678;4,05483;4,1546;404344,8047;
30.11.2020;4,4102;6,04014;3,67489;5,76523;2202695,897;
31.12.2020;5,75243;10,5655;5,6949;10,2402;2829565,862;
31.01.2021;10,4054;11,9777;9,39615;10,0095;864500,4766;
28.02.2021;10,0669;17,9187;10,0669;16,5415;1291400,99;
31.03.2021;16,7146;26,1286;14,778;25,7903;2537687,779;
30.04.2021;26,1286;40,2566;26,1093;35,7999;2305876,119;
31.05.2021;36,1188;42,5675;30,3605;38,024;2004978,815;
30.06.2021;38,5096;43,9741;37,0772;39,5827;1468791,068;
31.07.2021;40,5676;43,2586;34,004;41,2321;1142398,002;
31.08.2021;42,0058;44,102;32,5982;37,8545;1914490,094;
30.09.2021;37,782;47,1751;37,6891;45,974;943872,1272;
31.10.2021;46,4223;57,5172;46,04;52,1676;1782765,478;
30.11.2021;52,6691;58,3096;51,0858;52,7501;1931154,563;
31.12.2021;52,6273;59,7952;51,0463;56,6114;1242304,076;
31.01.2022;57,9259;75,8363;56,653;69,791;2727245,939;
28.02.2022;70,1739;75,6858;66,4772;73,7246;2911668,754;
31.03.2022;75,9592;107,969;71,4447;99,1106;8639339,042;
30.04.2022;97,9407;129,117;95,0236;107,365;4052457,524;
31.05.2022;107,754;116,877;90,5561;94,775;3234430,376;
30.06.2022;94,6717;94,6717;72,5386;72,9625;3248720,305;
31.07.2022;73,0721;81,1097;58,6769;79,9478;2523329,246;
31.08.2022;80,847;111,49;78,1871;98,9378;3739905,868;
30.09.2022;97,7278;109,109;81,5448;91,1335;2207655,895;
31.10.2022;95,1956;106,457;92,3845;96,3663;1976442,832;
30.11.2022;89,9939;103,985;88,0032;103,839;2216648,618;
31.12.2022;104,325;104,325;77,3945;81,341;2140381,969;
31.01.2023;82,6511;86,2095;79,1688;80,1684;1261058,73;
28.02.2023;80,0632;91,8703;72,3804;91,8623;2665211,543;
31.03.2023;92,0165;95,7364;72,2692;79,4507;3105644,851;
30.04.2023;80,3684;84,8947;75,8777;79,9318;821122,5567;
31.05.2023;79,7447;93,4305;79,6734;81,68;2765769,66;
30.06.2023;82,11;87,25;77,76;80,68;1389762;
31.07.2023;82;94,38;80,51;93,16;1493034;
31.08.2023;87,53;91,82;72,21;74,81;2277790;
30.09.2023;74,93;83,83;74,93;82,61;611560;
31.10.2023;81,82;84,62;73,19;78,83;741024;
30.11.2023;79,21;81,55;66,32;68,12;1218766;
31.12.2023;68,25;73,56;60,5;65,5;1295297;
