Date,Open,High,Low,Close,Volume
2014-05-11,94.17,94.5362,87.1509,88.4723,254942.2927936
2014-05-18,87.9774,91.5968,87.2519,87.7897,192936.71448634
2014-05-25,88.0558,89.8308,87.3951,87.9774,132302.32504875
2014-06-01,87.7897,88.2426,86.2532,87.2519,90523.522656465
2014-06-08,86.842,87.2876,83.3871,83.4728,194789.55954779
2014-06-15,83.523,84.3414,80.8503,83.0272,259132.42324811
2014-06-22,83.0272,86.9277,82.5242,86.0729,161043.00058491
2014-06-29,86.4756,86.4756,82.1651,84.1553,201815.33642617
2014-07-06,84.3414,85.197,83.4728,84.5573,101626.67232596
2014-07-13,84.7943,84.7943,80.8503,81.0806,160913.5380825
2014-07-20,80.8503,83.9402,77.9342,82.208,292159.28206315
2014-07-27,82.402,87.4234,82.0649,86.0729,180970.48146741
2014-08-03,86.9277,86.9277,73.9043,77.7546,309682.65819651
2014-08-10,77.7546,80.0252,74.1053,76.7849,265245.00225999
2014-08-17,76.7417,78.0489,75.075,75.8656,185092.40049592
2014-08-24,78.1213,78.1213,73.0852,74.1053,254421.6586441
2014-08-31,74.1053,74.1053,70.3385,70.9476,363093.59682729
2014-09-07,70.7629,72.9057,70.6394,71.7924,182873.44104592
2014-09-14,71.7924,71.7924,69.2294,69.3801,222962.27055722
2014-09-21,69.4139,70.3385,65.208,65.2582,249777.71339618
2014-09-28,65.2582,66.0004,62.6183,65.7625,331607.75941197
2014-10-05,65.2978,65.8019,62.2928,63.9099,220996.66783238
2014-10-12,63.7698,64.7604,54.5174,59.0121,322049.80735195
2014-10-19,59.0121,59.9266,49.8287,57.3397,402599.14904277
2014-10-26,57.3397,61.1298,56.4052,57.4785,264777.26676739
2014-11-02,56.8786,57.1982,54.4607,56.4052,295951.28052099
2014-11-09,56.8247,57.5618,54.2063,55.4915,298994.34536271
2014-11-16,55.3894,57.4785,53.9146,55.1589,329626.84391802
2014-11-23,55.0554,56.5711,53.5864,53.636,354384.80741752
2014-11-30,54.5295,54.5295,50.0794,50.8862,258510.16799456
2014-12-07,50.8862,51.0794,47.0989,47.8037,317048.10013498
2014-12-14,47.3805,48.8043,43.5444,45.6758,409807.28708046
2014-12-21,45.7225,46.5781,40.3679,44.0653,672943.30341402
2014-12-28,44.0653,44.5394,42.7858,43.4957,295720.19691453
2015-01-04,43.6386,47.2893,41.3169,46.2915,458627.17912022
2015-01-11,46.2434,49.3222,45.1069,48.8984,233792.57452271
2015-01-18,49.7051,51.8811,47.5243,50.6526,310421.84732319
2015-01-25,50.6526,56.671,49.7511,55.6366,191001.73729971
2015-02-01,55.4915,57.9971,53.3515,55.4405,236022.67053205
2015-02-08,55.911,58.5165,53.4018,53.5864,220235.20558699
2015-02-15,54.0216,57.8168,52.1187,56.0949,196354.24613612
2015-02-22,56.1466,65.3351,55.4405,65.3351,351461.46058879
2015-03-01,66.0528,69.4139,65.4313,68.3665,487554.39202546
2015-03-08,68.7983,70.4475,67.5361,68.0116,239149.25956887
2015-03-15,68.5037,69.0856,65.9665,68.7501,203726.64842419
2015-03-22,68.5037,68.9964,63.4882,63.6225,182521.24735656
2015-03-29,63.8653,66.3164,61.9222,65.4313,187379.57137192
2015-04-05,65.4313,67.1404,63.1362,63.6225,135563.94486766
2015-04-12,64.3639,68.5993,63.7253,67.1871,162493.53743993
2015-04-19,67.1871,68.161,65.1311,67.6353,176851.34657874
2015-04-26,67.7675,68.0116,66.2179,66.9428,125831.98406783
2015-05-03,66.7975,75.7574,65.8149,75.3767,266774.88710035
2015-05-10,76.6415,78.5883,70.1539,71.4748,456738.1402409
2015-05-17,71.413,73.409,69.7493,72.3096,167002.45190576
2015-05-24,72.9705,72.9705,70.6947,71.9576,138398.19922161
2015-05-31,72.3096,73.071,70.3455,71.6702,94357.283211853
2015-06-07,71.7062,71.9074,67.3852,68.2301,134046.58865656
2015-06-14,68.4902,68.6474,60.9503,62.0055,229726.33829093
2015-06-21,61.3985,65.6224,60.9503,64.07,167239.1037919
2015-06-28,64.2619,66.7775,63.6095,64.7344,104647.46404898
2015-07-05,63.7116,65.2776,61.762,64.3122,81913.5702109
2015-07-12,63.3094,64.4213,60.696,63.4623,140451.50235131
2015-07-19,63.7633,65.5714,61.3468,64.8179,126835.66647903
2015-07-26,64.7344,64.9263,61.1428,61.8007,137764.80740872
2015-08-02,62.0946,65.3221,60.1456,64.6706,133551.0117656
2015-08-09,64.8179,64.8179,54.7796,55.6638,362559.04197861
2015-08-16,56.1358,61.1808,53.636,59.0545,366885.59528514
2015-08-23,60.3527,61.7692,53.2229,55.9735,247226.04923567
2015-08-30,52.3839,59.1565,51.1361,57.4907,258614.57323845
2015-09-06,57.75,59.5768,56.5467,58.4748,210046.64585392
2015-09-13,59.2054,59.4697,57.2816,58.3296,103706.42478411
2015-09-20,58.426,59.3203,55.1991,59.0056,289856.79841805
2015-09-27,59.0056,59.0545,51.3466,52.4384,265399.52202094
2015-10-04,52.0212,52.5951,48.1686,50.1477,233326.23110003
2015-10-11,50.1987,56.0316,50.1987,54.212,194781.20712828
2015-10-18,53.8981,54.8896,52.6971,53.1684,116868.44586298
2015-10-25,52.9557,54.2567,51.8106,52.9557,123692.37260319
2015-11-01,52.649,53.6877,46.0329,47.4918,436419.48771131
2015-11-08,47.7002,49.3653,44.7313,44.9912,234030.61847876
2015-11-15,44.7313,46.4503,43.0129,44.4705,213000.61822085
2015-11-22,44.2621,45.252,42.1803,43.0653,190784.57439243
2015-11-29,42.4397,45.5127,42.3369,44.5752,123420.91896909
2015-12-06,44.2621,46.2936,42.7005,43.3778,169445.53461263
2015-12-13,43.222,44.2621,39.8364,40.7214,258798.32646768
2015-12-20,40.6165,40.6165,37.2848,37.2848,254325.60581973
2015-12-27,37.4931,42.5941,37.0247,42.4397,180811.78549671
2016-01-03,41.7638,41.9196,40.2524,41.7113,187713.66815235
2016-01-10,40.0956,41.6071,38.0139,38.1704,179881.88279119
